StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,10.10,"15,968.54","505,761.58",1.36,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-07-31
CA,9.69,"15,322.64","208,064.43",0.56,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-07-31
CA,17.99,"28,450.15","8,343,084.69",22.40,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-08-07
CA,7.41,"11,714.07","582,943.16",1.56,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-08-07
CA,10.10,"15,968.51","505,761.72",1.36,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-08-07
CA,9.69,"15,322.67","208,064.29",0.56,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-08-07
CA,17.99,"28,450.15","8,343,084.69",22.40,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-08-14
CA,7.41,"11,714.16","582,950.10",1.56,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-08-14
CA,9.47,"14,982.20","493,108.25",1.32,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-08-14
CA,10.31,"16,308.89","220,710.82",0.59,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-08-14
CA,14.84,"23,474.00","7,458,585.46",20.02,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-08-21
CA,6.97,"11,019.60","635,363.96",1.71,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-08-21
CA,8.93,"14,118.44","640,879.90",1.72,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-08-21
CA,16.26,"25,712.70","558,384.63",1.50,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-08-21
CA,13.85,"21,908.38","7,810,236.33",20.96,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-08-28
CA,7.61,"12,042.64","1,188,417.52",3.19,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-08-28
CA,9.66,"15,270.54","687,142.81",1.84,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-08-28
CA,18.60,"29,413.31","787,276.62",2.11,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-08-28
CA,13.85,"21,908.39","7,810,238.43",20.96,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-09-04
CA,7.61,"12,042.65","1,188,417.80",3.19,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-09-04
CA,9.66,"15,270.51","687,142.21",1.84,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-09-04
CA,18.60,"29,413.32","787,276.93",2.11,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-09-04
CA,18.47,"29,215.88","4,583,695.68",12.30,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-09-11
CA,13.95,"22,060.34","7,992,160.31",21.45,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-09-11
CA,14.64,"23,147.31","1,563,155.03",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-09-11
CA,18.95,"29,963.26","801,815.30",2.15,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-09-11
CA,18.47,"29,216.12","4,583,715.98",12.30,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-09-18
CA,13.95,"22,060.34","7,992,160.71",21.45,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-09-18
CA,14.64,"23,147.36","1,563,155.84",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-09-18
CA,18.95,"29,963.21","801,814.10",2.15,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-09-18
CA,18.47,"29,216.12","4,583,715.98",12.30,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-09-25
CA,13.95,"22,060.33","7,992,160.73",21.45,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-09-25
CA,14.64,"23,147.32","1,563,157.01",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-09-25
CA,18.95,"29,963.27","801,812.90",2.15,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-09-25
CA,18.47,"29,216.12","4,583,715.98",12.30,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-10-02
CA,13.97,"22,087.47","7,992,849.13",21.46,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-10-02
CA,14.62,"23,120.15","1,562,465.30",4.19,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-10-02
CA,18.95,"29,963.30","801,816.22",2.15,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-10-02
CA,18.47,"29,216.12","4,583,715.98",12.30,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-10-09
CA,13.95,"22,060.34","7,992,161.15",21.45,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-10-09
CA,14.64,"23,147.31","1,563,152.90",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-10-09
CA,18.95,"29,963.26","801,816.60",2.15,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-10-09
CA,22.85,"36,136.21","5,251,154.37",14.10,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-10-16
CA,13.95,"22,060.39","7,992,162.30",21.45,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-10-16
CA,14.64,"23,147.27","1,563,151.78",4.20,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-10-16
CA,18.95,"29,963.26","801,816.60",2.15,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-10-16
CA,22.85,"36,136.21","5,251,154.37",14.10,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-10-23
