,Map Date,Drought Level,Population Current,Population Current %,Area Current,Area Current %,Area Miles
145,2001-09-04,D1  ,"1,188,417.80",3.19,"12,042.65",7.61,"158,147.87"
146,2001-09-04,D2  ,"687,142.21",1.84,"15,270.51",9.66,"158,147.87"
147,2001-09-04,D3  ,"787,276.93",2.11,"29,413.32",18.6,"158,147.87"
148,2001-09-11,D0  ,"4,583,695.68",12.3,"29,215.88",18.47,"158,147.87"
149,2001-09-11,D1  ,"7,992,160.31",21.45,"22,060.34",13.95,"158,147.87"
150,2001-09-11,D2  ,"1,563,155.03",4.2,"23,147.31",14.64,"158,147.87"
151,2001-09-11,D3  ,"801,815.30",2.15,"29,963.26",18.95,"158,147.87"
152,2001-09-18,D0  ,"4,583,715.98",12.3,"29,216.12",18.47,"158,147.87"
153,2001-09-18,D1  ,"7,992,160.71",21.45,"22,060.34",13.95,"158,147.87"
154,2001-09-18,D2  ,"1,563,155.84",4.2,"23,147.36",14.64,"158,147.87"
155,2001-09-18,D3  ,"801,814.10",2.15,"29,963.21",18.95,"158,147.87"
156,2001-09-25,D0  ,"4,583,715.98",12.3,"29,216.12",18.47,"158,147.87"
157,2001-09-25,D1  ,"7,992,160.73",21.45,"22,060.33",13.95,"158,147.87"
158,2001-09-25,D2  ,"1,563,157.01",4.2,"23,147.32",14.64,"158,147.87"
159,2001-09-25,D3  ,"801,812.90",2.15,"29,963.27",18.95,"158,147.87"
160,2001-10-02,D0  ,"4,583,715.98",12.3,"29,216.12",18.47,"158,147.87"
161,2001-10-02,D1  ,"7,992,849.13",21.46,"22,087.47",13.97,"158,147.87"
162,2001-10-02,D2  ,"1,562,465.30",4.19,"23,120.15",14.62,"158,147.87"
163,2001-10-02,D3  ,"801,816.22",2.15,"29,963.30",18.95,"158,147.87"
164,2001-10-09,D0  ,"4,583,715.98",12.3,"29,216.12",18.47,"158,147.87"
165,2001-10-09,D1  ,"7,992,161.15",21.45,"22,060.34",13.95,"158,147.87"
166,2001-10-09,D2  ,"1,563,152.90",4.2,"23,147.31",14.64,"158,147.87"
167,2001-10-09,D3  ,"801,816.60",2.15,"29,963.26",18.95,"158,147.87"
168,2001-10-16,D0  ,"5,251,154.37",14.1,"36,136.21",22.85,"158,147.87"
169,2001-10-16,D1  ,"7,992,162.30",21.45,"22,060.39",13.95,"158,147.87"
170,2001-10-16,D2  ,"1,563,151.78",4.2,"23,147.27",14.64,"158,147.87"
171,2001-10-16,D3  ,"801,816.60",2.15,"29,963.26",18.95,"158,147.87"
